Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
6,1762803129.956389,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,0.24
9,1762803129.979542,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,2,-,-,0.37
11,1762803129.991655,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,4,-,-,0.23
13,1762803130.007136,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,0.28
15,1762803130.021121,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,8,-,-,0.15
17,1762803130.034409,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_call,9,-,-,0.36
19,1762803130.047233,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,11,-,-,0.32
21,1762803130.061876,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,0.40
23,1762803130.077949,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,0.43
26,1762803130.129434,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,17,-,-,0.22
29,1762803130.143370,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_call,18,-,-,0.34
31,1762803130.156042,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,20,-,-,0.24
33,1762803130.168400,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,21,-,-,0.26
35,1762803130.181136,127.0.0.1:44606,127.0.0.1:8545,POST,/,200,eth_chainId,22,-,-,0.31
47,1762803130.249042,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,0.26
50,1762803130.274205,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,2,-,-,0.41
52,1762803130.286073,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,4,-,-,0.30
54,1762803130.301978,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,0.34
56,1762803130.325464,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,8,-,-,0.20
58,1762803130.338285,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_call,9,-,-,0.35
60,1762803130.351415,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,11,-,-,0.25
62,1762803130.364787,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,0.31
64,1762803130.379214,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,0.32
67,1762803130.457310,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,17,-,-,0.19
70,1762803130.470631,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_call,18,-,-,0.38
72,1762803130.482731,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,20,-,-,0.22
74,1762803130.494344,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,21,-,-,0.23
76,1762803130.507955,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,22,-,-,0.34
78,1762803130.522028,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,23,-,-,0.34
80,1762803130.536891,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_call,24,-,-,0.75
82,1762803130.550692,127.0.0.1:44620,127.0.0.1:8545,POST,/,200,eth_chainId,26,-,-,0.41
