Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
7,1762888221.843277,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,1320.24
12,1762888222.086270,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBalance,3,-,-,211.50
15,1762888222.465305,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,363.05
18,1762888222.693818,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBalance,3,-,-,211.90
21,1762888223.067735,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,358.40
24,1762888223.295761,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBalance,3,-,-,212.12
28,1762888223.984482,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,538.41
32,1762888224.226981,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getTransactionCount,3,-,-,211.69
34,1762888224.452885,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,5,-,-,211.54
36,1762888224.681867,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,212.74
38,1762888224.910269,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBlockByNumber,7,-,-,211.76
41,1762888225.281675,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,10,-,-,213.37
45,1762888225.820254,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,502.56
48,1762888226.433594,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,588.40
56,1762888230.061258,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,18,-,-,212.33
59,1762888230.286088,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,19,-,-,211.72
61,1762888230.515797,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,21,-,-,211.43
65,1762888231.335588,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,691.93
69,1762888231.558622,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getTransactionCount,3,-,-,211.39
71,1762888231.782613,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,5,-,-,211.45
73,1762888232.005215,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,211.37
75,1762888232.229959,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBlockByNumber,7,-,-,211.68
77,1762888232.470854,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,10,-,-,212.50
80,1762888232.869878,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,372.72
83,1762888233.480566,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,597.42
91,1762888237.096201,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,18,-,-,211.49
94,1762888237.319508,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,19,-,-,211.74
96,1762888237.545988,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,21,-,-,211.39
100,1762888238.081103,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,411.93
104,1762888238.305017,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getTransactionCount,3,-,-,211.59
106,1762888238.529160,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,5,-,-,211.72
108,1762888238.753463,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,211.45
110,1762888238.978477,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_getBlockByNumber,7,-,-,211.74
112,1762888239.218746,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,10,-,-,212.68
115,1762888239.603397,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,354.80
118,1762888239.976077,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,359.12
128,1762888243.828704,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,18,-,-,211.47
131,1762888244.055702,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_chainId,19,-,-,212.73
133,1762888244.284877,127.0.0.1:56496,127.0.0.1:8545,POST,/,200,eth_blockNumber,21,-,-,212.65
