Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
6,1762888295.202038,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,482.76
10,1762888295.454040,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_getBalance,3,-,-,211.58
14,1762888296.122326,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,1,-,-,468.20
18,1762888296.358184,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_getTransactionCount,3,-,-,211.65
20,1762888296.597629,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,5,-,-,212.94
22,1762888296.824145,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,6,-,-,211.50
24,1762888297.052027,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_getBlockByNumber,7,-,-,211.89
27,1762888297.325760,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_blockNumber,10,-,-,212.53
31,1762888297.892943,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,13,-,-,521.40
35,1762888298.260490,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,15,-,-,348.69
45,1762888302.123648,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_blockNumber,18,-,-,211.47
48,1762888302.350060,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,19,-,-,211.63
50,1762888302.582253,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_blockNumber,21,-,-,211.47
53,1762888302.886611,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_call,22,-,-,213.49
56,1762888303.119383,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_getTransactionCount,24,-,-,211.59
58,1762888303.344642,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,26,-,-,211.51
60,1762888303.568997,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,27,-,-,211.43
62,1762888303.794547,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_getBlockByNumber,28,-,-,212.06
65,1762888304.127011,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_blockNumber,31,-,-,216.84
68,1762888304.358465,127.0.0.1:43484,127.0.0.1:8545,POST,/,200,eth_chainId,34,-,-,211.87
