Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
105,1762888375.470095,127.0.0.1:56280,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4710.22
286,1762888390.132690,127.0.0.1:41884,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4481.09
461,1762888404.244744,127.0.0.1:35520,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4520.28
644,1762888418.871339,127.0.0.1:32854,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4898.39
811,1762888431.830537,127.0.0.1:46134,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4880.92
980,1762888444.794061,127.0.0.1:47482,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4893.01
1115,1762888455.861789,127.0.0.1:40970,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,1545.28
1224,1762888464.162038,127.0.0.1:40970,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4765.43
1385,1762888476.281556,127.0.0.1:38082,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,5018.11
1518,1762888486.363454,127.0.0.1:48806,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,1617.76
1627,1762888494.535180,127.0.0.1:48806,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,4710.16
1786,1762888506.462085,127.0.0.1:58792,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,5004.29
