Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
21,1763141809.331847,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,202.14
23,1763141809.535340,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,179.17
25,1763141809.740378,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.36
29,1763141809.946352,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,189.09
31,1763141810.150611,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,190.99
33,1763141810.355489,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,189.37
35,1763141810.561348,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,191.15
37,1763141810.765138,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,189.99
39,1763141810.968644,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,188.62
41,1763141811.174873,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,190.54
43,1763141811.381300,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.17
45,1763141811.583292,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,184.88
47,1763141811.788958,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,191.16
49,1763141811.994122,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.36
51,1763141812.214440,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,206.91
53,1763141812.403623,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,176.42
55,1763141812.608038,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.67
57,1763141812.811783,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,190.93
59,1763141813.017377,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.65
61,1763141813.223097,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,193.14
63,1763141813.431770,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,196.20
65,1763141813.632674,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,183.16
70,1763141813.835747,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,181.84
72,1763141814.040599,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,191.78
74,1763141814.245480,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.51
76,1763141814.450208,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,191.77
78,1763141814.658952,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,196.04
84,1763141814.864137,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,167.34
86,1763141815.065023,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,187.83
88,1763141815.209819,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,132.11
92,1763141815.371926,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,149.74
94,1763141815.577054,172.31.100.255:54826,54.211.237.84:443,TLS,-,-,-,-,-,-,192.63
117,1763141816.207881,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,117.08
119,1763141816.395993,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,175.20
121,1763141816.600830,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,192.72
123,1763141816.805556,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.93
129,1763141817.011481,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,193.35
131,1763141817.216407,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,192.22
133,1763141817.420166,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.42
135,1763141817.624764,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.82
137,1763141817.822132,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,185.00
142,1763141818.036395,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,201.96
145,1763141818.240228,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.41
147,1763141818.444123,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.67
149,1763141818.649102,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,191.42
151,1763141818.857413,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,195.98
155,1763141819.051220,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,181.71
158,1763141819.268537,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,204.81
161,1763141819.468107,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,187.10
163,1763141819.675279,172.31.100.255:43444,54.211.237.84:443,TLS,-,-,-,-,-,-,194.70
