Frame,Timestamp,Src,Dst,Metodo,URI,Status,Operazione,Payload ID,Payload Mediator,Δ Mediator (ms),Latency (ms)
668,1763669925.910878,127.0.0.1:42470,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34189.06
1749,1763670018.547845,127.0.0.1:38098,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34727.68
2854,1763670116.062374,127.0.0.1:57102,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34289.58
3989,1763670212.162173,127.0.0.1:40074,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,33691.00
5050,1763670297.988032,127.0.0.1:54140,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,33987.39
6119,1763670385.340393,127.0.0.1:41998,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,35450.56
6908,1763670454.730599,127.0.0.1:3000,127.0.0.1:44424,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,649ceefe-0f17-4ad4-a400-93fcbbe83161,649ceefe-0f17-4ad4-a400-93fcbbe83161,0.00,1409.12
7598,1763670506.775199,127.0.0.1:46996,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34395.64
8644,1763670591.577300,127.0.0.1:56930,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34264.51
9433,1763670664.664346,127.0.0.1:3000,127.0.0.1:53324,POST,/didcomm,200,https://didcomm.org/routing/2.0/forward,3e93d208-49c7-4129-bfd4-86ee6f64ecc8,3e93d208-49c7-4129-bfd4-86ee6f64ecc8,0.00,1687.39
10123,1763670716.876912,127.0.0.1:33296,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,34181.70
11171,1763670803.433545,127.0.0.1:40198,127.0.0.1:3000,POST,/didcomm,200,-,-,-,-,33580.07
